wavenumber,blue,black,red
4165.554,31.04369,31.34908,55.61458
4166.519,31.07746,31.38639,55.64357
4167.482,31.11239,31.42461,55.67486
4168.447,31.14766,31.46149,55.7041
4169.411,31.18107,31.49619,55.73277
4170.375,31.21507,31.53326,55.76257
4171.34,31.24933,31.57029,55.78889
4172.304,31.28226,31.60604,55.81508
4173.268,31.31418,31.64075,55.8418
4174.232,31.346,31.67509,55.86654
4175.197,31.3789,31.71016,55.89236
4176.161,31.41228,31.74486,55.91726
4177.125,31.4458,31.77828,55.94005
4178.089,31.47772,31.81229,55.96294
4179.054,31.50972,31.84697,55.98479
4180.018,31.54413,31.88166,56.0082
4180.982,31.57691,31.91513,56.03006
4181.946,31.60723,31.94798,56.05034
4182.911,31.63912,31.98161,56.07279
4183.875,31.67237,32.01596,56.09623
4184.839,31.7055,32.05066,56.11812
4185.803,31.73851,32.08576,56.13952
4186.768,31.77123,32.11965,56.16141
4187.732,31.80532,32.15458,56.18344
4188.696,31.84192,32.19078,56.20657
4189.66,31.87807,32.22631,56.22916
4190.625,31.91397,32.26215,56.25039
4191.589,31.95018,32.29883,56.27134
4192.553,31.98821,32.33677,56.29472
4193.518,32.02816,32.37556,56.31927
4194.481,32.06833,32.41362,56.34118
4195.446,32.10877,32.45216,56.363
4196.41,32.14842,32.49104,56.38485
4197.375,32.18897,32.53056,56.40694
4198.338,32.2331,32.57049,56.43104
4199.303,32.27692,32.61069,56.45393
4200.267,32.32007,32.65123,56.47483
4201.231,32.36378,32.69226,56.49369
4202.196,32.40818,32.73391,56.51181
4203.16,32.45487,32.77688,56.53345
4204.124,32.50153,32.82006,56.55564
4205.088,32.54842,32.86209,56.57441
4206.053,32.5966,32.90445,56.59133
4207.017,32.64448,32.94799,56.61014
4207.981,32.69254,32.99247,56.63121
4208.945,32.74258,33.03685,56.65105
4209.91,32.792,33.08164,56.66632
4210.874,32.84045,33.12674,56.68148
4211.838,32.89074,33.17134,56.70088
4212.802,32.94349,33.21733,56.72115
4213.767,32.99586,33.26359,56.73886
4214.731,33.04589,33.3095,56.7536
4215.695,33.09584,33.3551,56.7691
4216.659,33.14799,33.40164,56.78907
4217.624,33.20158,33.44918,56.80898
4218.588,33.2547,33.4965,56.82606
4219.552,33.30652,33.54261,56.84168
4220.516,33.35883,33.589,56.86037
4221.48,33.41282,33.63774,56.88366
4222.445,33.46728,33.68784,56.90633
4223.409,33.52048,33.7366,56.92617
4224.373,33.57361,33.78489,56.94516
4225.337,33.62796,33.83391,56.96545
4226.302,33.68393,33.88499,56.99013
4227.266,33.73914,33.93658,57.01541
4228.23,33.79296,33.9858,57.03843
4229.194,33.84832,34.03642,57.06095
4230.159,33.90456,34.0893,57.08448
4231.123,33.96204,34.14222,57.11075
4232.087,34.01994,34.1944,57.13675
4233.052,34.07642,34.24662,57.16098
4234.016,34.13306,34.29989,57.18567
