Wavelength (nm),Ikaite
1778,0.125917624
1779,0.126305561
1780,0.126698272
1781,0.132128097
1782,0.132504019
1783,0.132902248
1784,0.13330829
1785,0.133682356
1786,0.134078491
1787,0.134437774
1788,0.134739704
1789,0.135039456
1790,0.135394764
1791,0.135812678
1792,0.136222295
1793,0.136665839
1794,0.137108325
1795,0.137548235
1796,0.138002983
1797,0.138584455
1798,0.139004572
1799,0.139363241
1800,0.139624393
1801,0.140006664
1802,0.140321552
1803,0.140700056
1804,0.141257209
1805,0.141664745
1806,0.141967939
1807,0.142308452
1808,0.142641402
1809,0.142959013
1810,0.143267453
1811,0.143564851
1812,0.143885763
1813,0.144224834
1814,0.144522267
1815,0.144803532
1816,0.145109397
1817,0.145412395
1818,0.145653958
1819,0.145996295
1820,0.146414779
1821,0.146790453
1822,0.147189791
1823,0.147569828
1824,0.14793604
1825,0.148316135
1826,0.148745335
1827,0.149081283
1828,0.149452718
1829,0.149888043
1830,0.150158479
1831,0.150321807
1832,0.15054319
1833,0.150707656
1834,0.150862512
1835,0.151043556
1836,0.151225583
1837,0.151326089
1838,0.151315847
1839,0.151388759
1840,0.151469765
1841,0.151534951
1842,0.151717119
1843,0.151700409
1844,0.151528782
1845,0.151420625
1846,0.151307306
1847,0.151058089
1848,0.150859131
1849,0.150756491
1850,0.150503664
1851,0.150158275
1852,0.149799507
1853,0.149413969
1854,0.148958135
1855,0.148490716
1856,0.147897107
1857,0.147215022
1858,0.146600485
1859,0.145801719
1860,0.144861288
1861,0.143916345
1862,0.142884414
1863,0.141742105
1864,0.140471345
1865,0.139318003
1866,0.137952145
1867,0.136464607
1868,0.134905739
1869,0.133254155
1870,0.131504916
1871,0.129714739
1872,0.127800083
1873,0.125778569
1874,0.123765603
1875,0.121674961
1876,0.11940566
1877,0.117085117
1878,0.114640643
1879,0.112242622
1880,0.109752111
1881,0.107366819
1882,0.104977485
1883,0.102649358
1884,0.100413045
1885,0.098012412
1886,0.095597057
1887,0.093283519
1888,0.090965689
1889,0.088709081
1890,0.086590014
1891,0.084668495
1892,0.082690992
1893,0.080729573
1894,0.078844859
1895,0.077008232
1896,0.075153006
1897,0.073442593
1898,0.071745057
1899,0.06999124
1900,0.068370758
1901,0.066782227
1902,0.065206819
1903,0.063710797
1904,0.062334337
1905,0.06092463
1906,0.059601811
1907,0.05839171
1908,0.057041223
1909,0.055750345
1910,0.054551246
1911,0.053225437
1912,0.052017484
1913,0.050915435
1914,0.049893693
1915,0.048750537
1916,0.047721621
1917,0.046707404
1918,0.045585395
1919,0.044539747
1920,0.043561237
1921,0.042598052
1922,0.041697419
1923,0.040826215
1924,0.040010558
1925,0.039153245
1926,0.038318782
1927,0.03760925
1928,0.036848658
1929,0.03604605
1930,0.035283655
1931,0.034464005
1932,0.033709306
1933,0.033024542
1934,0.032347505
1935,0.031715321
1936,0.03109841
1937,0.030453028
1938,0.029802496
1939,0.029183669
1940,0.028638697
1941,0.02816681
1942,0.02774634
1943,0.027338374
1944,0.026895119
1945,0.026445664
1946,0.026044426
1947,0.025662813
1948,0.025309509
1949,0.024993338
1950,0.024711072
1951,0.024468231
1952,0.024294387
1953,0.024181642
1954,0.024051818
1955,0.02389086
1956,0.023811786
1957,0.023787699
1958,0.023781759
1959,0.023891509
1960,0.024125108
1961,0.024296313
1962,0.024450337
1963,0.024591917
1964,0.024727578
1965,0.024904641
1966,0.025043947
1967,0.025212651
1968,0.025398231
1969,0.025551937
1970,0.025718951
