data,data2
2.62564829881657e-05,142451.587568805
2.63180460428994e-05,144680.278032923
2.63796090976331e-05,146598.840662403
2.64411721523669e-05,148517.403291883
2.65027352071006e-05,150407.688298804
2.65642982618343e-05,152289.781895655
2.6625861316568e-05,153977.740489829
2.66874243713018e-05,155463.580038269
2.67489874260355e-05,156939.146357291
2.68105504807692e-05,158367.424527578
2.6872113535503e-05,159795.702697866
2.69336765902367e-05,160900.845536872
2.69952396449704e-05,161946.389903432
2.70568026997041e-05,162941.933363131
2.71183657544379e-05,163884.191497357
2.71799288091716e-05,164788.236474836
2.72414918639053e-05,165340.281783709
2.73030549186391e-05,165892.327092581
2.73646179733728e-05,166311.311188466
2.74261810281065e-05,166669.324096356
2.74877440828402e-05,166916.33100792
2.7549307137574e-05,166826.047465364
2.76108701923077e-05,166735.763922808
2.76724332470414e-05,166484.383188145
2.77339963017752e-05,166188.054222422
2.77955593565089e-05,165860.201148122
2.78571224112426e-05,165454.593424422
2.79186854659763e-05,165048.985700723
2.79802485207101e-05,164844.268082236
2.80418115754438e-05,164700.412649546
2.81033746301775e-05,164585.854574448
2.81649376849112e-05,164575.853266529
2.8226500739645e-05,164565.85195861
2.82880637943787e-05,164668.62463342
2.83496268491124e-05,164834.549411184
2.84111899038462e-05,165000.017178515
2.84727529585799e-05,165152.479634412
2.85343160133136e-05,165304.94209031
2.85958790680473e-05,165469.441041143
2.86574421227811e-05,165652.174396042
2.87190051775148e-05,165834.907750942
2.87805682322485e-05,165947.649147145
2.88421312869823e-05,166034.561106168
2.8903694341716e-05,166120.639723877
2.89652573964497e-05,166181.827386744
2.90268204511834e-05,166243.015049612
2.90883835059172e-05,166273.691688449
2.91499465606509e-05,166233.80306083
2.92115096153846e-05,166193.914433211
2.92730726701183e-05,166143.939331711
2.93346357248521e-05,166085.388115806
2.93961987795858e-05,166026.836899901
2.94577618343195e-05,165914.613592051
2.95193248890533e-05,165784.17190478
2.9580887943787e-05,165653.730217509
2.96424509985207e-05,165524.559953905
2.97040140532544e-05,165395.499932039
2.97655771079882e-05,165263.609264599
2.98271401627219e-05,165087.157871869
2.98887032174556e-05,164910.706479138
2.99502662721894e-05,164736.660265269
3.00118293269231e-05,164574.773715499
3.00733923816568e-05,164412.887165729
3.01349554363905e-05,164244.546619477
3.01965184911243e-05,164055.173681339
3.0258081545858e-05,163865.800743201
3.03196446005917e-05,163685.854050229
3.03812076553254e-05,163531.345778499
3.04427707100592e-05,163376.83750677
3.05043337647929e-05,163228.461044569
3.05658968195266e-05,163096.784410426
3.06274598742604e-05,162965.107776282
3.06890229289941e-05,162860.489291995
3.07505859837278e-05,162845.931626122
3.08121490384615e-05,162831.37396025
3.08737120931953e-05,162840.119269487
3.0935275147929e-05,162976.380387947
3.09968382026627e-05,163112.641506407
3.10584012573965e-05,163256.974308922
3.11199643121302e-05,163591.902516996
3.11815273668639e-05,163926.830725069
3.12430904215976e-05,164261.758933142
3.13046534763314e-05,164698.783662138
3.13662165310651e-05,165148.715967436
3.14277795857988e-05,165598.648272735
3.14893426405325e-05,166016.478545596
3.15509056952663e-05,166420.281593794
3.161246875e-05,166824.084641992
3.16740318047337e-05,167134.58295414
3.17355948594675e-05,167336.354347078
3.17971579142012e-05,167538.125740016
3.18587209689349e-05,167691.900499923
3.19202840236686e-05,167639.40571567
3.19818470784024e-05,167586.910931417
3.20434101331361e-05,167534.416147163
3.21049731878698e-05,167487.011445184
3.21665362426036e-05,167440.354976597
3.22280992973373e-05,167393.69850801
3.2289662352071e-05,167334.754106264
3.23512254068047e-05,167264.129756579
3.24127884615385e-05,167193.505406894
3.24743515162722e-05,167125.048834854
3.25359145710059e-05,167073.902657378
3.25974776257397e-05,167022.756479903
3.26590406804734e-05,166971.610302427
3.27206037352071e-05,166937.664231882
3.27821667899408e-05,166912.405448774
3.28437298446746e-05,166887.146665665
3.29052928994083e-05,166714.701128118
3.2966855954142e-05,165834.032898516
3.30284190088757e-05,164953.364668914
3.30899820636095e-05,164072.696439313
3.31515451183432e-05,163206.02403159
3.32131081730769e-05,162347.479898282
3.32746712278107e-05,161488.935764974
3.33362342825444e-05,160610.945728439
3.33977973372781e-05,159344.414570484
3.34593603920118e-05,158077.88341253
3.35209234467456e-05,156811.352254575
3.35824865014793e-05,155550.931226127
3.3644049556213e-05,154299.159184388
3.37056126109467e-05,153047.387142648
3.37671756656805e-05,151795.615100909
3.38287387204142e-05,150317.550476622
3.38903017751479e-05,148755.772664429
3.39518648298817e-05,147193.994852236
3.40134278846154e-05,145632.217040043
